index,DateTime,Open,Close,High,Low
47,20210421  22:00:00,0.864025,0.864175,0.8643,0.86396
48,20210421  23:15:00,0.864175,0.86394,0.864175,0.863635
49,20210422  00:00:00,0.86394,0.86404,0.864045,0.863795
50,20210422  01:00:00,0.86404,0.864055,0.864125,0.863945
51,20210422  02:00:00,0.864055,0.86363,0.864125,0.863605
52,20210422  03:00:00,0.86363,0.863995,0.86405,0.8636
53,20210422  04:00:00,0.863995,0.863865,0.863995,0.863595
54,20210422  05:00:00,0.863865,0.863615,0.863865,0.86347
55,20210422  06:00:00,0.863615,0.86397,0.86404,0.86352
56,20210422  07:00:00,0.86397,0.863605,0.864035,0.86351
57,20210422  08:00:00,0.863605,0.863835,0.864025,0.863455
58,20210422  09:00:00,0.863835,0.864855,0.86493,0.86351
59,20210422  10:00:00,0.864855,0.86525,0.865655,0.86468
60,20210422  11:00:00,0.86525,0.86607,0.86643,0.86479
61,20210422  12:00:00,0.86607,0.866755,0.866975,0.865765
62,20210422  13:00:00,0.866755,0.866865,0.867105,0.86633
63,20210422  14:00:00,0.866865,0.8699,0.869945,0.86686
64,20210422  15:00:00,0.8699,0.86872,0.870245,0.86778
65,20210422  16:00:00,0.86872,0.868385,0.868875,0.867625
66,20210422  17:00:00,0.868385,0.86729,0.868805,0.867215
67,20210422  18:00:00,0.86729,0.86747,0.86751,0.866745
68,20210422  19:00:00,0.86747,0.867945,0.868315,0.86726
69,20210422  20:00:00,0.867945,0.867725,0.86819,0.867315
70,20210422  21:00:00,0.867725,0.868235,0.868255,0.86756
71,20210422  22:00:00,0.868235,0.86815,0.868325,0.868025
72,20210422  23:15:00,0.86855,0.86824,0.86855,0.86803
73,20210423  00:00:00,0.86824,0.86806,0.86849,0.86806
74,20210423  01:00:00,0.86806,0.86818,0.86832,0.86796
75,20210423  02:00:00,0.86818,0.86812,0.868305,0.86797
